stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3562.1,,Career and Community Services Center,This stop is located on the buidling on the northwest side of the Oakdale Mall,42.129811,-75.974687,,,,,,
3562,,Dave and Buster's,The stop is located by Dave and Buster's,42.129443,-75.97358,,,,,,
3563,,Watson/Wilson,The stop is located across from Wilson Ave on a telephone pole by Baked Euphoria Endwell,42.109659,-76.03579,,,,,,
3564,,Harry L/Oakdale,The stop is located  on a sign post  about 250 feet after Oakdale Rd in front of the Valero Might Mart Johnson City.,42.123795,-75.978004,,,,,,
3565,,Watson/Seward,The stop is located at the corner before Seward Ave on a sign post near the theWatson Blvd Apts Endwell,42.110214,-76.03142,,,,,,
3566,,Harry L/Valley Plaza,The stop is located on a telephone pole about 250 feet before Valley Plaza Dr  across from Calvary Church Johnson City,42.12177,-75.980281,,,,,,
3567,,N Willis/Watson,The stop is located about 100 feet afterWatson Blvd on a sign post at a private residence Endwell,42.110814,-76.029621,,,,,,
3568,,Watson /Heritage Country Club 1,The stop is located  on a sign post by the Traditions at the Glen Parking Lot across from Gates Doors and Blind Tiger Pub Johnson City,42.120134,-75.985653,,,,,,
3569,,N Willis/King,The stop is located at the corner before King St on a sign post at a private residence Endwell,42.113452,-76.029838,,,,,,
3570,,Watson /Heritage Country Club 2,The stop is located  on a sign post  before the entrance to the Traditions at the Glen Johnson City,42.120341,-75.987836,,,,,,
3571,,Center St/Country Club,The stop is located on a telephone pole before Country Club Rd at a private residence Endwell,42.11553,-76.031919,,,,,,
3572,,Watson /Poplar,The stop is located  on a sign post  at the corner before Poplar St across from Friedman Electric Binghamton,42.119088,-75.99208,,,,,,
3573,,Country Club/Knightlee,The stop is located on a telephone pole about 20 feet before Knightlee Ave at a private residence Endwell,42.115741,-76.028314,,,,,,
3574,,Watson /Country Club,The stop is located  on a sign post about 100 feet before Country Club Rd Johnson City,42.11596,-75.999633,,,,,,
3575,,Country Club/Beckwith,The stop is located on a telephone pole at the corner before Beckwith Ave at a private residence Endwell.,42.115945,-76.023425,,,,,,
3576,,Watson /Groveland,The stop is located  on a sign post  about 75 feet after Groveland Ave by a private residence Endwell,42.112237,-76.010208,,,,,,
3577,,Country Club/Norton,The stop is located on a sign post at the corner before Norton Ave at a private residence Endwell,42.116054,-76.020853,,,,,,
3578,,Hooper/Mary,The stop is located  on a sign post about 10 feet before Mary St at a private residence Endwell,42.109847,-76.017525,,,,,,
3579,,Country Club/Doyleson,The stop is located on a telephone pole at the corner before Doyleson Ave across from Dunkin Donuts Endwell,42.11612,-76.019469,,,,,,
3580,,Main /Brookside,The stop is located  on a sign post  about 160 feet after Brookside Ave before the exit to McDonald's Endwell,42.106708,-76.020615,,,,,,
3581,,Hopper/Rath,The stop is located on a sign post across from Rath Ave by the Veterinary Medical Center.,42.113288,-76.017414,,,,,,
3582,,Main /Avenue B,The stop is located  on a sign post  near Jay's One Stop in Endwell,42.106641,-76.02201,,,,,,
3583,,Main/Endwell,The stop is located near the Johnson City YMCA,42.116738,-75.978067,,,,,,
3584,,Main /S Kelly,The stop is located  on a sign post about 10 feet before S Kelly Ave near Pullano Physical Therpay Endicott,42.106535,-76.024019,,,,,,
3585,,Watson/Hooper,The stop is located about 25 feet after Hooper Rd by the Welcome to Endwell sign Endwell,42.1109354235885,-76.0170169002058,,,,,,
3586,,Main /Chaumont,The stop is located  on a sign post about 70 feet before Chaumont Ave in front of the Town of Union Office Bldg Endicott,42.106408,-76.0262,,,,,,
3586.1,,North/S Willis,The stop is located about 125 feet after S Willis Ave Endicott,42.106727,-76.029839,,,,,,
3586.2,,North/Hayes,The stop is located at the corner before Gault Toyota,42.106635,-76.038471,,,,,,
3587,,Watson/Valley,The stop is located on a sign post at the corner before Valley St at a priavte residence Endwell,42.111675,-76.011004,,,,,,
3588,,Main /Marion,The stop is located  on a sign post before Marion Ave by the entrance to A-Z Vacuum near Little Caeser's Pizza Endicott,42.105817,-76.029731,,,,,,
3589,,Watson/Country Club,The stop is located on a sign post across from Country Club Rd Endwell,42.115818,-75.999776,,,,,,
3590,,Main /Moore,The stop is located  on a sign post at the corner before Moore Ave near the Autozone Endicott,42.105082,-76.031919,,,,,,
3591,,Watson/Poplar,The stop is located on a sign post across from Poplar St by Friedman Electric Johnson City.,42.1189305729996,-75.9921724784174,,,,,,
3592,,Main /Nebraska,The stop is located on a telephone pole about 100 feet after Nebraska Ave near Tony's Grill Endicott,42.104142,-76.034682,,,,,,
3593,,Watson/Wilkans Way,The stop is located on a sign post about 200 feet before Wilkans Way before the Blind Tiger Pub Johnson City,42.11996,-75.985158,,,,,,
3594,,Main /Delaware,The stop is located on a telephone pole at the corner before Delaware Ave near the Laser Car Wash Endicott,42.103342,-76.037181,,,,,,
3595,,Harry L/Valley Plaza,The stop is located on a sign post about 100 feet before Valley Plaza Dr near the Calvary Church Johnson City,42.121467,-75.980405,,,,,,
3596,,Main /Jackson,The stop is located  on a sign post on the corner before Jackson Ave near Broome County Central Foods Endicott,42.1025,-76.039549,,,,,,
3597,,Harry L/Oakdale,The stop is located about 150 feet before Oakdale Rd by Monroe Muffler Johnson City,42.123412,-75.978266,,,,,,
3598,,Main /Adams,The stop is located  on a sign post about 10 feet before Adams Ave at a private residence Endicott,42.10162,-76.041716,,,,,,
